"Timestamp","1. Age","2. Gender","3. What is your favorite clothing store?","4. Rate the following about your preferred clothing store. [Prices of clothes]","4. Rate the following about your preferred clothing store. [Quality of clothes]","4. Rate the following about your preferred clothing store. [Convenience in shopping]","4. Rate the following about your preferred clothing store. [Stock availability]","4. Rate the following about your preferred clothing store. [Customer Care]","5. How often do you visit clothing stores?","6. Do the other related clothing accessories (for example: hats, shoes, slippers, belts, gloves & scarves etc.) available in your preferred clothing store?","7. Are you satisfied with refund policy of your preferred clothing store?","8. Do you think the prices offered by the clothing store always equate to better quality of the clothes?  ","9. Do you find the staff members at the clothing stores friendly, helpful and informative?","10. Do you have to wait in long queues at the cashier?","11. Are the clothing items properly organized under separate categories in your preferred clothing store?","12. Are there enough fitting rooms available at the clothing store?","13. Are there elevators available at the clothing store for the convenience of the customers?","14. Does the preferred clothing store provide special offers, promotions and discounts for the customers?","15. Does the preferred clothing store provide credit/debit card payment methods?"
"2018/08/02 8:18:06 PM GMT+5:30","19","Male","Cool Planet","Good","Good","Good","Good","Excellent","Once a month","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 8:25:20 PM GMT+5:30","19","Male","Supul","Unacceptable","Good","Good","Fair","Excellent","Twice a year","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 8:28:41 PM GMT+5:30","19","Male","Supul","Fair","Good","Good","Fair","Good","Once a year","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 9:54:06 PM GMT+5:30","20","Male","Thilakawardene","Good","Good","Good","Good","Good","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
"2018/08/02 9:55:00 PM GMT+5:30","21","Male","Supul","Good","Good","Fair","Fair","Fair","Thrice a year","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"2018/08/02 9:55:00 PM GMT+5:30","21","Male","Cool Planet","Excellent","Excellent","Excellent","Excellent","Excellent","Once a year","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"2018/08/02 9:57:14 PM GMT+5:30","21","Male","Supul","Good","Good","Good","Good","Excellent","Once a year","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No"
"2018/08/02 9:57:52 PM GMT+5:30","20","Male","Odel","Good","Excellent","Good","Good","Good","Thrice a year","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 9:58:55 PM GMT+5:30","21","Male","Thilakawardene","Excellent","Excellent","Excellent","Excellent","Excellent","Once a month","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2018/08/02 9:59:36 PM GMT+5:30","20","Male","Odel","Excellent","Excellent","Excellent","Excellent","Excellent","Twice a year","No","No","No","Yes","Yes","Yes","No","No","No","Yes"
"2018/08/02 10:00:05 PM GMT+5:30","20","Male","Cool Planet","Good","Good","Good","Good","Good","Thrice a year","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes"
